FileName, Speaker, Emotion, Sentence, Path
KLa01.wav, KL, a, 01, ~/google_drive/Savee/AudioData/KL/a01.wav
KLa02.wav, KL, a, 02, ~/google_drive/Savee/AudioData/KL/a02.wav
KLa03.wav, KL, a, 03, ~/google_drive/Savee/AudioData/KL/a03.wav
KLa04.wav, KL, a, 04, ~/google_drive/Savee/AudioData/KL/a04.wav
KLa05.wav, KL, a, 05, ~/google_drive/Savee/AudioData/KL/a05.wav
KLa06.wav, KL, a, 06, ~/google_drive/Savee/AudioData/KL/a06.wav
KLa07.wav, KL, a, 07, ~/google_drive/Savee/AudioData/KL/a07.wav
KLa08.wav, KL, a, 08, ~/google_drive/Savee/AudioData/KL/a08.wav
KLa09.wav, KL, a, 09, ~/google_drive/Savee/AudioData/KL/a09.wav
KLa10.wav, KL, a, 10, ~/google_drive/Savee/AudioData/KL/a10.wav
KLa11.wav, KL, a, 11, ~/google_drive/Savee/AudioData/KL/a11.wav
KLa12.wav, KL, a, 12, ~/google_drive/Savee/AudioData/KL/a12.wav
KLa13.wav, KL, a, 13, ~/google_drive/Savee/AudioData/KL/a13.wav
KLa14.wav, KL, a, 14, ~/google_drive/Savee/AudioData/KL/a14.wav
KLa15.wav, KL, a, 15, ~/google_drive/Savee/AudioData/KL/a15.wav
KLd01.wav, KL, d, 01, ~/google_drive/Savee/AudioData/KL/d01.wav
KLd02.wav, KL, d, 02, ~/google_drive/Savee/AudioData/KL/d02.wav
KLd03.wav, KL, d, 03, ~/google_drive/Savee/AudioData/KL/d03.wav
KLd04.wav, KL, d, 04, ~/google_drive/Savee/AudioData/KL/d04.wav
KLd05.wav, KL, d, 05, ~/google_drive/Savee/AudioData/KL/d05.wav
KLd06.wav, KL, d, 06, ~/google_drive/Savee/AudioData/KL/d06.wav
KLd07.wav, KL, d, 07, ~/google_drive/Savee/AudioData/KL/d07.wav
KLd08.wav, KL, d, 08, ~/google_drive/Savee/AudioData/KL/d08.wav
KLd09.wav, KL, d, 09, ~/google_drive/Savee/AudioData/KL/d09.wav
KLd10.wav, KL, d, 10, ~/google_drive/Savee/AudioData/KL/d10.wav
KLd11.wav, KL, d, 11, ~/google_drive/Savee/AudioData/KL/d11.wav
KLd12.wav, KL, d, 12, ~/google_drive/Savee/AudioData/KL/d12.wav
KLd13.wav, KL, d, 13, ~/google_drive/Savee/AudioData/KL/d13.wav
KLd14.wav, KL, d, 14, ~/google_drive/Savee/AudioData/KL/d14.wav
KLd15.wav, KL, d, 15, ~/google_drive/Savee/AudioData/KL/d15.wav
KLf01.wav, KL, f, 01, ~/google_drive/Savee/AudioData/KL/f01.wav
KLf02.wav, KL, f, 02, ~/google_drive/Savee/AudioData/KL/f02.wav
KLf03.wav, KL, f, 03, ~/google_drive/Savee/AudioData/KL/f03.wav
KLf04.wav, KL, f, 04, ~/google_drive/Savee/AudioData/KL/f04.wav
